geo,forest_products_removal_per_ha_dollar,time
tcd,4984,2005
tcd,4349,2010
tcd,3715,2015
tcd,3715,9999
tgo,465,1990
tgo,330,2000
tgo,262,2005
tgo,195,2010
tgo,128,2015
tgo,128,9999
tha,1941,1990
tha,2244,2005
tha,2653,2010
tha,3265,2015
tha,3265,9999
tjk,22,1990
tjk,22,2000
tjk,22,2005
tjk,22,2010
tjk,22,2015
tjk,22,9999
tkl,0,1990
tkl,0,2000
tkl,0,2005
tkl,0,2010
tkl,0,2015
tkl,0,9999
tkm,0,1990
tkm,0,2000
tkm,0,2005
tkm,0,2010
tkm,0,2015
tkm,0,9999
tls,322,1990
tls,284,2000
tls,266,2005
tls,247,2010
tls,228,2015
tls,228,9999
ton,1,1990
ton,1,2000
ton,1,2005
ton,1,2010
ton,1,2015
ton,1,9999
tto,75.9,1990
tto,75.9,2000
tto,75.9,2005
tto,75.9,2010
tun,172,1990
tun,208,2000
tun,239,2005
tun,270,2010
tun,290,2015
tun,290,9999
tur,7890,1990
tur,8350,2000
tur,8743,2005
tur,7730,2010
tur,8083,2015
tur,8083,9999
tuv,0,1990
tuv,0,2000
tuv,0,2005
tuv,0,2010
tuv,0,2015
tuv,0,9999
tza,29621,1990
tza,26596,2000
tza,25084,2005
tza,23571,2010
tza,19788,2015
tza,19788,9999
uga,356.6,1990
uga,356.6,2000
uga,356.6,2005
uga,356.6,2010
uga,356.6,2015
uga,356.6,9999
ukr,4450,1990
ukr,4558,2000
ukr,4589,2005
ukr,3362,2010
ukr,3362,2015
ukr,3362,9999
ury,320.4,1990
ury,777.4,2000
ury,929.6,2005
ury,1129.5,2010
ury,1218.6,2015
ury,1218.6,9999
usa,71033,1990
usa,81331,2000
usa,84954,2005
usa,89212,2010
usa,91339,2015
usa,91339,9999
uzb,5,1990
uzb,6,2000
uzb,6,2005
uzb,5.5,2010
uzb,6,2015
uzb,6,9999
vat,0,1990
vat,0,2000
vat,0,2005
vat,0,2010
vat,0,2015
vat,0,9999
ven,25481,2000
ven,24043,2005
ven,19737,2010
ven,19396,2015
ven,19396,9999
vnm,5707,1990
vnm,4653,2000
vnm,4946,2005
vnm,6373,2010
vnm,6870,2015
vnm,6870,9999
wlf,0.16,1990
wlf,0.24,2000
wlf,0.28,2005
wlf,0.31,2010
wlf,0.35,2015
wlf,0.35,9999
wsm,80.6,2000
wsm,80.6,2005
wsm,80.6,2010
wsm,80.6,2015
wsm,80.6,9999
yem,0,1990
yem,0,2000
yem,0,2005
yem,0,2010
yem,0,2015
yem,0,9999
zaf,1626,1990
zaf,1724,2000
zaf,1750,2005
zaf,1763,2010
zaf,1763,2015
zaf,1763,9999
zmb,11888,2000
zmb,11888,2005
zmb,11888,2010
zmb,11888,2015
zmb,11888,9999
zwe,2216,1990
zwe,1889,2000
zwe,1726,2005
zwe,1562,2010
zwe,1406,2015
zwe,1406,9999
